name_raw	score	name	district
Neil Anderson	53.0	Neil Anderson	36
Omar Aquino	100.0	Omar Aquino	2
Darren Bailey	53.0	Darren Bailey	55
Jason A. Barickman	60.0	Jason A. Barickman	53
Christopher Belt	93.0	Christopher Belt	57
Scott M. Bennett	73.0	Scott M. Bennett	52
Terri Bryant	53.0	Terri Bryant	58
Melinda Bush	100.0	Melinda Bush	31
Cristina Castro	100.0	Cristina Castro	22
Jacqueline Y. Collins	53.0	Jacqueline Y. Collins	16
John Connor	80.0	Eric Mattson	43
Rachelle Crowe	47.0	Kris Tharp	56
Bill Cunningham	87.0	Bill Cunningham	18
John F. Curran	53.0	John F. Curran	41
Donald P. DeWitte	47.0	Donald P. DeWitte	33
Laura Ellman	100.0	Laura Ellman	21
Sara Feigenholtz	100.0	Sara Feigenholtz	6
Laura Fine	100.0	Laura Fine	9
Dale Fowler	67.0	Dale Fowler	59
Ann Gillespie	100.0	Ann Gillespie	27
Suzy Glowiak Hilton	100.0	Suzy Glowiak Hilton	24
Don Harmon	87.0	Don Harmon	39
Napoleon Harris, III	87.0	Napoleon Harris, III	15
Michael E. Hastings	80.0	Michael E. Hastings	19
Linda Holmes	87.0	Linda Holmes	42
Mattie Hunter	93.0	Mattie Hunter	3
Adriane Johnson	100.0	Adriane Johnson	30
Emil Jones, III	67.0	Emil Jones, III	14
Patrick J. Joyce	67.0	Patrick J. Joyce	40
David Koehler	100.0	David Koehler	46
Steven M. Landek	67.0	Steven M. Landek	12
Kimberly A. Lightford	87.0	Kimberly A. Lightford	4
Meg Loughran Cappel	87.0	Meg Loughran Cappel	49
Robert F. Martwick	100.0	Robert F. Martwick	10
Steve McClure	53.0	Steve McClure	50
Dan McConchie	67.0	Dan McConchie	26
Julie A. Morrison	100.0	Julie A. Morrison	29
Antonio Muñoz	87.0	Antonio Muñoz	1
Laura M. Murphy	73.0	Laura M. Murphy	28
Cristina H. Pacione-Zayas	100.0	Cristina H. Pacione-Zayas	20
Diane Pappas	100.0	Diane Pappas	23
Robert Peters	100.0	Robert Peters	13
Jason Plummer	47.0	Jason Plummer	54
Sue Rezin	53.0	Sue Rezin	38
Chapin Rose	60.0	Chapin Rose	51
Mike Simmons	100.0	Mike Simmons	7
Elgie R. Sims, Jr.	87.0	Elgie R. Sims, Jr.	17
Steve Stadelman	87.0	Steve Stadelman	34
Brian W. Stewart	33.0	Brian W. Stewart	45
Win Stoller	53.0	Win Stoller	37
Dave Syverson	53.0	Dave Syverson	35
Jil Tracy	60.0	Jil Tracy	47
Doris Turner	73.0	Doris Turner	48
Sally J. Turner	60.0	Sally J. Turner	44
Patricia Van Pelt	80.0	Patricia Van Pelt	5
Karina Villa	100.0	Karina Villa	25
Celina Villanueva	100.0	Celina Villanueva	11
Ram Villivalam	100.0	Ram Villivalam	8
Craig Wilcox	47.0	Craig Wilcox	32