name_raw	vote
Rep. Ammons, Carol [D]	Yea
Rep. Andrade Jr., Jaime M. [D]	Yea
Rep. Avelar, Dagmara "Dee" [D]	Yea
Rep. Batinick, Mark [R]	Nay
Rep. Bennett, Thomas M. [R]	Yea
Rep. Bos, Chris [R]	Nay
Rep. Bourne, Avery [R]	Nay
Rep. Brady, Dan [R]	Nay
Rep. Buckner, Kambium [D]	Yea
Rep. Burke, Kelly M. [D]	Yea
Rep. Butler, Timothy J. [R]	Nay
Rep. Carroll, Jonathan [D]	Yea
Rep. Cassidy, Kelly M. [D]	Yea
Rep. Caulkins, Dan [R]	Nay
Rep. Chesney, Andrew S. [R]	Nay
Rep. Collins, Lakesia [D]	Yea
Rep. Conroy, Deborah "Deb" Okeefe [D]	Yea
Rep. Costa Howard, Terra [D]	Yea
Rep. Crespo, Fred [D]	Yea
Rep. Croke, Margaret Noble [D]	Yea
Rep. D'Amico, John C. [D]	Yea
Rep. Davidsmeyer, Christopher "Cd" D. [R]	Nay
Rep. Davis, William "Will" [D]	Yea
Rep. DeLuca, Anthony [D]	Yea
Rep. Demmer, Tom [R]	Yea
Rep. Didech, Daniel [D]	Yea
Rep. Dina Delgado, Eva [D]	Yea
Rep. Durkin, James "Jim" B. [R]	Nay
Rep. Elik, Amy [R]	Nay
Rep. Evans Jr., Marcus C. [D]	Yea
Rep. Flowers, Mary E. [D]	Nay
Rep. Ford, LaShawn K. [D]	Yea
Rep. Friess, David [R]	Nay
Rep. Gabel, Robyn [D]	Yea
Rep. Gong-Gershowitz, Jennifer [D]	Yea
Rep. Gonzalez Jr., Edgar [D]	Yea
Rep. Gordon, Jehan A. [D]	Yea
Rep. Grant, Amy L. [R]	Nay
Rep. Greenwood, Latoya N. [D]	Yea
Rep. Guerrero-Cuellar, Angelica J. [D]	Yea
Rep. Guzzardi, Will [D]	Yea
Rep. Haas, Jackie [R]	Yea
Rep. Halbrook, Brad [R]	Nay
Rep. Halpin, Michael W. [D]	Yea
Rep. Hammond, Norine K. [R]	Nay
Rep. Harper, Sonya M. [D]	Yea
Rep. Harris, Gregory "Greg" S. [D]	Yea
Rep. Hernandez, Barbara [D]	Yea
Rep. Hernandez, Elizabeth "Lisa" [D]	Yea
Rep. Hirschauer, Maura [D]	Yea
Rep. Hoffman, Jay C. [D]	Yea
Rep. Hurley, Frances Ann [D]	Yea
Rep. Jacobs, Paul [R]	Nay
Rep. Jones, Thaddeus [D]	Yea
Rep. Keicher, Jeff [R]	Yea
Rep. Kifowit, Stephanie A. [D]	Yea
Rep. LaPointe, Lindsey [D]	Yea
Rep. Lewis, Seth [R]	Yea
Rep. Lilly, Camille [D]	Yea
Rep. Luft, Mark A. [R]	Yea
Rep. Mah, Theresa [D]	Yea
Rep. Manley, Natalie A. [D]	Yea
Rep. Marron, Michael T. [R]	Nay
Rep. Mason, Joyce [D]	Yea
Rep. Mayfield, Rita [D]	Yea
Rep. Mazzochi, Deanne Marie [R]	Nay
Rep. McCombie, Tony M. [R]	Yea
Rep. McLaughlin, Martin [R]	Yea
Rep. Meier, Charles E. [R]	Nay
Rep. Meyers-Martin, Debbie [D]	Yea
Rep. Miller, Chris [R]	Nay
Rep. Moeller, Anna [D]	Yea
Rep. Morgan, Bob [D]	Yea
Rep. Morrison, Thomas "Tom" R. [R]	Nay
Rep. Moylan, Martin J. [D]	Yea
Rep. Murphy, Mike [R]	Nay
Rep. Mussman, Michelle [D]	Yea
Rep. Ness, Suzanne M. [D]	Yea
Rep. Nichols, Cyril [D]	Yea
Rep. Niemerg, Adam M. [R]	Nay
Rep. Ortiz, Aaron M. [D]	Yea
Rep. Ozinga, Tim [R]	Nay
Rep. Ramirez, Delia C. [D]	Yea
Rep. Reick, Steven [R]	Nay
Rep. Rita, Robert "Bob" [D]	Yea
Rep. Robinson Jr., Lamont J. [D]	Yea
Rep. Scherer, Sue [D]	Yea
Rep. Severin, Dave [R]	Yea
Rep. Slaughter, Justin D. [D]	Yea
Rep. Smith Jr., Nicholas K. [D]	Yea
Rep. Sosnowski, Joe [R]	Nay
Rep. Spain, Ryan [R]	Nay
Rep. Stava-Murray, Anne M. [D]	Yea
Rep. Stephens, Bradley [R]	Yea
Rep. Stuart, Katie [D]	Yea
Rep. Swanson, Daniel M. [R]	Nay
Rep. Tarver II, Curtis J. [D]	Yea
Rep. Ugaste, Dan [R]	Nay
Rep. Vella, Dave [D]	Yea
Rep. Walker, Mark L. [D]	Yea
Rep. Walsh Jr., Lawrence M. [D]	Yea
Rep. Wang Stoneback, Denyse [D]	Yea
Rep. Weber, Tom [R]	Nay
Rep. Welch, Emanuel "Chris" [D]	Yea
Rep. Welter, David A. [R]	Yea
Rep. West II, Maurice A. [D]	Yea
Rep. Wheeler, Keith R. [R]	Yea
Rep. Wilhour, Blaine [R]	Nay
Rep. Williams, Ann M. [D]	Yea
Rep. Williams, Jawaharial [D]	Yea
Rep. Willis, Kathleen [D]	Yea
Rep. Windhorst, Patrick [R]	Nay
Rep. Yang Rohr, Janet Yang [D]	Yea
Rep. Yednock, Lance [D]	Yea
Rep. Yingling, Sam [D]	Yea
Rep. Zalewski, Michael J. [D]	Yea