name	bills	committees	district	party
Neil Anderson	Bills	Committees	36	R
Omar Aquino	Bills	Committees	2	D
Darren Bailey	Bills	Committees	55	R
Jason A. Barickman	Bills	Committees	53	R
Christopher Belt	Bills	Committees	57	D
Scott M. Bennett	Bills	Committees	52	D
Terri Bryant	Bills	Committees	58	R
Melinda Bush	Bills	Committees	31	D
Cristina Castro	Bills	Committees	22	D
Jacqueline Y. Collins	Bills	Committees	16	D
Bill Cunningham	Bills	Committees	18	D
John F. Curran	Bills	Committees	41	R
Donald P. DeWitte	Bills	Committees	33	R
Laura Ellman	Bills	Committees	21	D
Sara Feigenholtz	Bills	Committees	6	D
Laura Fine	Bills	Committees	9	D
Dale Fowler	Bills	Committees	59	R
Ann Gillespie	Bills	Committees	27	D
Suzy Glowiak Hilton	Bills	Committees	24	D
Don Harmon	Bills	Committees	39	D
Napoleon Harris, III	Bills	Committees	15	D
Michael E. Hastings	Bills	Committees	19	D
Linda Holmes	Bills	Committees	42	D
Mattie Hunter	Bills	Committees	3	D
Adriane Johnson	Bills	Committees	30	D
Emil Jones, III	Bills	Committees	14	D
Patrick J. Joyce	Bills	Committees	40	D
David Koehler	Bills	Committees	46	D
Steven M. Landek	Bills	Committees	12	D
Kimberly A. Lightford	Bills	Committees	4	D
Meg Loughran Cappel	Bills	Committees	49	D
Robert F. Martwick	Bills	Committees	10	D
Eric Mattson	Bills	Committees	43	D
Steve McClure	Bills	Committees	50	R
Dan McConchie	Bills	Committees	26	R
Julie A. Morrison	Bills	Committees	29	D
Antonio Muñoz	Bills	Committees	1	D
Laura M. Murphy	Bills	Committees	28	D
Cristina H. Pacione-Zayas	Bills	Committees	20	D
Diane Pappas	Bills	Committees	23	D
Robert Peters	Bills	Committees	13	D
Jason Plummer	Bills	Committees	54	R
Sue Rezin	Bills	Committees	38	R
Chapin Rose	Bills	Committees	51	R
Mike Simmons	Bills	Committees	7	D
Elgie R. Sims, Jr.	Bills	Committees	17	D
Steve Stadelman	Bills	Committees	34	D
Brian W. Stewart	Bills	Committees	45	R
Win Stoller	Bills	Committees	37	R
Dave Syverson	Bills	Committees	35	R
Kris Tharp	Bills	Committees	56	D
Jil Tracy	Bills	Committees	47	R
Doris Turner	Bills	Committees	48	D
Sally J. Turner	Bills	Committees	44	R
Patricia Van Pelt	Bills	Committees	5	D
Karina Villa	Bills	Committees	25	D
Celina Villanueva	Bills	Committees	11	D
Ram Villivalam	Bills	Committees	8	D
Craig Wilcox	Bills	Committees	32	R